"gene","module"
"COL1A1","green"
"COL3A1","turquoise"
"SPARC","green"
"COL1A2","green"
"CST3","turquoise"
"TIMP1","turquoise"
"PTGDS","black"
"SFRP2","green"
"IGFBP7","turquoise"
"IGFBP3","brown"
"APOE","turquoise"
"MDK","turquoise"
"CXCL14","black"
"C1R","turquoise"
"IFITM3","turquoise"
"LGALS1","turquoise"
"SERPINF1","turquoise"
"THY1","turquoise"
"COL6A2","turquoise"
"PCOLCE","turquoise"
"COL6A1","turquoise"
"COMP","green"
"MALAT1","blue"
"COL5A1","green"
"CCDC80","turquoise"
"TMSB10","turquoise"
"COL5A2","green"
"SERF2","turquoise"
"FTL","turquoise"
"APOD","black"
"DCN","turquoise"
"CFD","black"
"IGFBP4","turquoise"
"COL6A3","turquoise"
"SERPINH1","green"
"RPS26","turquoise"
"BGN","turquoise"
"IFITM2","turquoise"
"PPIB","turquoise"
"FN1","green"
"RARRES2","turquoise"
"PTMA","brown"
"CCL19","black"
"AEBP1","green"
"NEAT1","blue"
"NNMT","turquoise"
"C1S","turquoise"
"WISP2","turquoise"
"IGF2","green"
"POSTN","green"
"MMP2","green"
"CTHRC1","green"
"MGP","turquoise"
"TCF4","brown"
"SLC35F1","brown"
"S100A11","turquoise"
"FBLN1","turquoise"
"TMSB4X","turquoise"
"CTSK","turquoise"
"RCN3","green"
"TAGLN","green"
"CD63","turquoise"
"B2M","turquoise"
"MARCKS","green"
"HLA-A","turquoise"
"CTSC","turquoise"
"RPL34","yellow"
"RPS27A","yellow"
"TIMP3","brown"
"RPS27","yellow"
"C3","black"
"ACTB","turquoise"
"RPL35A","yellow"
"NME1-NME2","turquoise"
"TRPS1","brown"
"RPL26","yellow"
"VCAN","turquoise"
"H3F3B","brown"
"CERCAM","green"
"MRC2","green"
"LUM","turquoise"
"FTH1","turquoise"
"PRKG1","blue"
"SERPING1","black"
"DPT","green"
"CD99","turquoise"
"HLA-B","black"
"VIM","yellow"
"OST4","turquoise"
"MYL6","turquoise"
"S100A13","turquoise"
"COL14A1","green"
"SSR4","turquoise"
"BNC2","blue"
"EMILIN1","turquoise"
"SLC27A4","turquoise"
"HTRA1","green"
"SERPINE2","brown"
"S100A6","turquoise"
"RPL41","yellow"
"TFAP2A","brown"
"NBL1","green"
"RPL21","yellow"
"ADAM12","pink"
"COPZ2","green"
"APCDD1","brown"
"HSPA1A","brown"
"PFN1","turquoise"
"FBN1","turquoise"
"GXYLT2","green"
"RPL37A","yellow"
"SPON2","green"
"HCFC1R1","turquoise"
"GAPDH","turquoise"
"MYL9","turquoise"
"RPL13A","yellow"
"JUNB","brown"
"RPS23","yellow"
"VKORC1","turquoise"
"CRABP2","green"
"RPL30","yellow"
"ATP5E","turquoise"
"INHBA","brown"
"MIR99AHG","blue"
"RPS9","yellow"
"PLAC9","turquoise"
"LMO4","brown"
"RPL6","yellow"
"RPL10","yellow"
"ASPN","green"
"RPL9","yellow"
"PPIC","turquoise"
"PHPT1","turquoise"
"HSPA1B","brown"
"TPT1","turquoise"
"LGALS3","turquoise"
"SH3BGRL3","turquoise"
"PLXDC2","blue"
"TCEB2","turquoise"
"PTN","green"
"SEMA3G","brown"
"FAU","yellow"
"LRP1","turquoise"
"RPL13","yellow"
"COL23A1","brown"
"JMJD1C","blue"
"RPS3A","yellow"
"IER2","brown"
"JUN","brown"
"ZFP36L2","yellow"
"RPL11","yellow"
"CFL1","turquoise"
"COL12A1","pink"
"RPL31","yellow"
"RPS13","yellow"
"RPL19","yellow"
"S100A4","yellow"
"RPL24","yellow"
"RORA","blue"
"RPL37","yellow"
"CREB3L1","green"
"RPL7","yellow"
"UQCR11","turquoise"
"CD81","yellow"
"ISLR","green"
"RPL17-C18orf32","yellow"
"GGT5","turquoise"
"RPS11","yellow"
"RPL38","yellow"
"RPL32","yellow"
"RPL23A","yellow"
"CFH","black"
"RPL29","turquoise"
"RPS15A","yellow"
"MT-CO3","brown"
"RPL4","yellow"
"RPL36A","yellow"
"RPL12","yellow"
"SOD3","black"
"RPLP0","turquoise"
"IGFBP5","black"
"RPL28","turquoise"
"LY6E","turquoise"
"P4HB","green"
"RPL18A","yellow"
"RPL5","yellow"
"RPS12","yellow"
"RPS25","yellow"
"RPL27A","yellow"
"GSN","magenta"
"MT2A","turquoise"
"GADD45G","brown"
"PMEPA1","brown"
"SPRY1","black"
"RPS20","yellow"
"AUTS2","blue"
"MRPS6","brown"
"RPS10","yellow"
"RPS14","yellow"
"CLEC11A","turquoise"
"FGFR1","brown"
"BMP4","brown"
"TSHZ2","blue"
"RP11-25H12.1","turquoise"
"ZBTB20","red"
"RPL23","yellow"
"UQCRQ","turquoise"
"AP000350.10","turquoise"
"COL8A1","green"
"RPL14","yellow"
"FTX","blue"
"RPL10A","yellow"
"PLPP3","black"
"CRIP1","black"
"RPS18","yellow"
"RPL22","yellow"
"FNDC3B","blue"
"CTSB","turquoise"
"HDLBP","green"
"ALX4","brown"
"KIF26B","blue"
"LGALS3BP","turquoise"
"MXRA5","green"
"ADIRF","brown"
"COL16A1","pink"
"LAMC3","brown"
"RPS21","yellow"
"SFRP4","green"
"RPL39","yellow"
"FOXP1","pink"
"APBB2","blue"
"COL18A1","turquoise"
"RPS6","yellow"
"ROR2","blue"
"UBA52","turquoise"
"THBS4","turquoise"
"CKAP4","green"
"S100A10","turquoise"
"GABARAP","turquoise"
"RPS28","yellow"
"RPS19","turquoise"
"FSTL1","turquoise"
"EBF1","magenta"
"RPL18","yellow"
"RPS10-NUDT3","yellow"
"RPS17","yellow"
"RPS29","turquoise"
"DIO2","brown"
"MT-ATP6","brown"
"POLR2L","turquoise"
"RPL36","yellow"
"NDUFA13","turquoise"
"NUCKS1","brown"
"RPS16","yellow"
"NGFR","turquoise"
"RPLP2","yellow"
"RRBP1","green"
"SNED1","black"
"HSPG2","green"
"BICC1","blue"
"RPL8","yellow"
"RPS4X","yellow"
"THBS2","green"
"IGFBP6","turquoise"
"RPS3","yellow"
"KDELR2","turquoise"
"SELM","turquoise"
"MT1X","turquoise"
"S100A8","turquoise"
"RABAC1","turquoise"
"GNB2L1","yellow"
"CEBPD","magenta"
"GPX1","turquoise"
"FBXL7","blue"
"RPS2","yellow"
"PTPRG","red"
"RHOC","turquoise"
"CPXM1","turquoise"
"RPS24","yellow"
"RPS8","yellow"
"FBLN2","turquoise"
"SOX4","brown"
"RUNX1T1","brown"
"STAG1","blue"
"STEAP1B","yellow"
"ANXA2","turquoise"
"LRRC15","green"
"RPS15","yellow"
"LAMA2","magenta"
"SLIT3","blue"
"TUBA1B","turquoise"
"DCLK1","blue"
"PFDN5","yellow"
"OOEP","yellow"
"RPL15","yellow"
"OLFML3","green"
"GSTP1","turquoise"
"DKK2","brown"
"MT-ND1","brown"
"RPS7","yellow"
"RPS5","yellow"
"SEPT11","pink"
"RPL35","yellow"
"RPL3","yellow"
"COL15A1","black"
"PPP1R14B","green"
"CYBA","turquoise"
"HLA-C","turquoise"
"RUNX1","blue"
"ADAMTS2","pink"
"SEPW1","turquoise"
"COL5A3","turquoise"
"PRDX5","turquoise"
"MAP4K4","pink"
"ITM2B","turquoise"
"TUBB","turquoise"
"BMP7","brown"
"C12orf57","yellow"
"GLTSCR2","brown"
"EFEMP2","turquoise"
"EIF1","yellow"
"HNRNPA1","yellow"
"PALLD","pink"
"RPL27","yellow"
"RPLP1","turquoise"
"EEF1A1","yellow"
"TMEM176B","turquoise"
"MT-CO2","brown"
"SLC5A3","brown"
"IER3","brown"
"BASP1","green"
"NACA","yellow"
"KRTCAP2","turquoise"
"TNN","brown"
"TMEM176A","turquoise"
"GAS6","turquoise"
"RPL7A","yellow"
"MT-ND4","brown"
"PDLIM2","turquoise"
"SNHG8","brown"
"CD248","turquoise"
"RBMS3","blue"
"PDZRN3","blue"
"PLA2G2A","black"
"SSR2","turquoise"
"NPC2","turquoise"
"TMEM258","turquoise"
"ROBO2","brown"
"TWIST1","brown"
"CD74","turquoise"
"ELN","green"
"TCF7L2","red"
"F2R","brown"
"NDUFB2","turquoise"
"HSP90AB1","brown"
"CDH11","blue"
"BTF3","yellow"
"FLNA","green"
"UBB","turquoise"
"MT-ND2","brown"
"PODN","turquoise"
"PRDX4","turquoise"
"NXN","blue"
"COX7C","turquoise"
"PTCH1","brown"
"EXOSC7","black"
"LTBP4","magenta"
"BRI3","turquoise"
"DYNLL1","turquoise"
"CAMK1D","blue"
"ARL4C","green"
"CALD1","turquoise"
"KRTDAP","grey"
"CHPF","green"
"CENPW","brown"
"C1orf122","turquoise"
"CALR","turquoise"
"TUBA1A","green"
"DAAM2","brown"
"CLU","black"
"CXCL12","black"
"PLEKHH2","red"
"FOXO3","brown"
"IFI27","turquoise"
"TPM2","green"
"BTG1","brown"
"TMA7","turquoise"
"DLC1","blue"
"ARPC1B","turquoise"
"TTC28","blue"
"OGN","green"
"DAB2","turquoise"
"PTMS","turquoise"
"ACTG1","yellow"
"CPE","brown"
"FKBP10","green"
"IFI27L2","turquoise"
"LUZP2","brown"
"ALDOA","turquoise"
"PSAP","turquoise"
"EEF1B2","turquoise"
"PRSS23","turquoise"
"GAS7","blue"
"ZFAND3","blue"
"FOSB","red"
"HIST1H4C","brown"
"EEF1G","yellow"
"ATOX1","green"
"RHOB","brown"
"CASC15","blue"
"RNASEK","turquoise"
"ECM1","turquoise"
"ABI3BP","black"
"CIRBP","brown"
"JUND","brown"
"RAB13","turquoise"
"LSP1","turquoise"
"C11orf96","turquoise"
"ANGPTL2","green"
"PPIA","turquoise"
"MYLIP","brown"
"MT-CYB","brown"
"MT-ND3","brown"
"ARID5B","brown"
"MACF1","blue"
"SPATS2L","pink"
"MED13L","blue"
"AC090498.1","turquoise"
"KIZ-AS1","turquoise"
"TXNIP","magenta"
"NAP1L1","brown"
"SEC61G","turquoise"
"AKAP13","red"
"PRRX1","brown"
"UBL5","turquoise"
"TOMM7","yellow"
"CACNA1C","blue"
"WWOX","blue"
"SEC61B","turquoise"
"TENM3","blue"
"ATP5I","turquoise"
"MYCBP2","brown"
"C9orf16","turquoise"
"EEF1D","yellow"
"MYDGF","turquoise"
"NEGR1","magenta"
"RPSA","turquoise"
"UBE2E2","blue"
"PARK7","turquoise"
"GPC6","blue"
"ARMC9","turquoise"
"RTEL1-TNFRSF6B","turquoise"
"COX6A1","turquoise"
"TAGLN2","turquoise"
"HMGB1","brown"
"PRKCDBP","turquoise"
"TSC22D1","brown"
"TPI1","turquoise"
"COX5B","turquoise"
"FOS","grey"
"IGFBP2","brown"
"PPDPF","turquoise"
"LAPTM4A","yellow"
"KRT2","brown"
"BCL2","brown"
"COX4I1","turquoise"
"HIST1H2BD","brown"
"ZFP36L1","turquoise"
"OLFML2B","turquoise"
"C1QTNF5","turquoise"
"COL4A2","turquoise"
"CHCHD2","turquoise"
"MYO1D","blue"
"COX8A","turquoise"
"SLC25A6","yellow"
"EMP3","turquoise"
"EEF2","yellow"
"TRIO","blue"
"COX6C","turquoise"
"ARPC2","turquoise"
"PKM","turquoise"
"HLA-E","yellow"
"LDB2","blue"
"COL11A1","pink"
"TNC","turquoise"
"PSMA7","turquoise"
"PARD3B","blue"
"RERE","red"
"GPR78","green"
"NREP","green"
"SH3PXD2B","blue"
"NDUFA11","turquoise"
"ARID1B","blue"
"IFI6","turquoise"
"RYR2","blue"
"LHFP","blue"
"MEG3","blue"
"AP2S1","turquoise"
"SPTBN1","black"
"SOX18","brown"
"ZFP36","grey"
"SRP14","yellow"
"RP11-849F2.7","yellow"
"GRIK1","brown"
"STMN2","black"
"NENF","turquoise"
"ZNHIT1","turquoise"
"MT-CO1","grey"
"NME4","turquoise"
"ATXN1","blue"
"TXNRD1","turquoise"
"MZT2B","turquoise"
"NDUFA4","turquoise"
"FOXN3","blue"
"CSTB","turquoise"
"KRT10","brown"
"EXT1","blue"
"HSPB1","turquoise"
"GRN","turquoise"
"LPP","blue"
"FMOD","turquoise"
"CAPZB","green"
"NUCB1","turquoise"
"SASH1","black"
"EDNRA","brown"
"ZFAS1","yellow"
"TSPO","turquoise"
"RBFOX2","yellow"
"MFAP4","turquoise"
"GPX4","turquoise"
"RASAL2","blue"
"BMP1","green"
"UQCR10","turquoise"
"INHBB","brown"
"AGAP1","blue"
"GNAS","yellow"
"NR2F2","turquoise"
"PLEKHA7","yellow"
"GUK1","turquoise"
"C19orf53","turquoise"
"PARD3","blue"
"ENO1","turquoise"
"SMOC2","turquoise"
"TCF12","blue"
"H3F3A","yellow"
"APRT","turquoise"
"COX7A1","turquoise"
"MAML2","blue"
"UQCRH","turquoise"
"HSP90B1","turquoise"
"EID1","yellow"
"CNTN4","blue"
"HAS2","turquoise"
"PGM2L1","brown"
"DDIT4","magenta"
"P3H3","green"
"NDUFA1","turquoise"
"NAALADL2","blue"
"COX6B1","turquoise"
"ATP5J2","turquoise"
"INAFM1","turquoise"
"CILP2","green"
"ATP6V0E1","turquoise"
"HTRA3","turquoise"
"MUSTN1","brown"
"CALM1","turquoise"
"CBLB","red"
"VAMP5","turquoise"
"ZDHHC14","brown"
"P4HA2","green"
"TPM4","green"
"FAM127A","turquoise"
"EGFR","magenta"
"SUMO2","yellow"
"ITGA8","brown"
"KRT14","grey"
"PRICKLE1","blue"
"ANAPC11","turquoise"
"RCN1","green"
"MFAP2","green"
"ATP5D","turquoise"
"COL4A1","turquoise"
"TMEM119","turquoise"
"C6orf48","yellow"
"RABGAP1L","blue"
"PEAK1","blue"
"IGF1","grey"
"SMYD3","blue"
"JTB","turquoise"
"MGST3","turquoise"
"H1FX","yellow"
"LSAMP","black"
"SNX29","blue"
"ROR1","blue"
"HMGN2","turquoise"
"TYMP","turquoise"
"NDUFB11","turquoise"
"LY6D","turquoise"
"SLIT2","blue"
"MYL12A","turquoise"
"P3H4","green"
"FAM101B","brown"
"CD9","brown"
"PEBP1","yellow"
"NTRK3","brown"
"TNRC6B","red"
"TXN","yellow"
"ANXA5","turquoise"
"KLF6","blue"
"EFEMP1","turquoise"
"TSC22D3","brown"
"ST13","brown"
"PRLR","brown"
"DAD1","turquoise"
"NUPR1","turquoise"
"C1QTNF6","green"
"KRT15","brown"
"CLMP","blue"
"LOXL1","turquoise"
"RPL36AL","yellow"
"SPON1","red"
"SON","brown"
"RPS27L","turquoise"
"EDIL3","blue"
"LAMA4","turquoise"
"SIK3","blue"
"MT1E","turquoise"
"ID1","brown"
"CEBPA","brown"
"KCTD7","blue"
"CD59","turquoise"
"ITGB1","turquoise"
"ACTA2","green"
"ITGB5","green"
"SEC61A1","green"
"VPS13B","blue"
"SNRPD2","turquoise"
"PABPC1","yellow"
"PRKD1","red"
"PDGFRB","turquoise"
"ARL15","blue"
"ID2","brown"
"NOTCH3","turquoise"
"PRDM1","brown"
"XYLT1","red"
"PYCR1","green"
"MKLN1","red"
"PHLDA3","turquoise"
"NPM1","yellow"
"APLP2","brown"
"SSC5D","green"
"SULF2","pink"
"ROBO1","blue"
"ROMO1","turquoise"
"FIS1","turquoise"
"SMG6","blue"
"HMCN1","blue"
"RASD1","brown"
"NAV1","blue"
"CLIC1","turquoise"
"CAPNS1","turquoise"
"GLG1","blue"
"DLEU2","blue"
"DKK3","brown"
"DLG2","blue"
"RAC1","yellow"
"TGFBI","turquoise"
"TPM1","green"
"RPL17","yellow"
"CYP7B1","black"
"PIEZO2","pink"
"COX7A2","turquoise"
"CYGB","turquoise"
"SETBP1","red"
"AC004448.5","turquoise"
"ATP5G3","turquoise"
"SULF1","pink"
"P3H1","green"
"EDF1","turquoise"
"NAA38","turquoise"
"PRELP","turquoise"
"A1BG","turquoise"
"BANF1","turquoise"
"BST2","turquoise"
"TIMP2","brown"
"ZFPM2","blue"
"TMED9","turquoise"
"MBNL1","blue"
"YBX1","turquoise"
"TWIST2","black"
"PHLDB1","blue"
"XIST","blue"
"ZEB2","brown"
"PDE4D","blue"
"ENAH","blue"
"BSG","turquoise"
"ATRAID","turquoise"
"MYEOV2","turquoise"
"ASH1L","blue"
"PLIN3","turquoise"
"CCDC3","brown"
"TUBA1C","green"
"DBI","turquoise"
"LGR4","blue"
"USP34","blue"
"PSD3","blue"
"WDR83OS","turquoise"
"HIST2H2BE","brown"
"AK1","turquoise"
"ADAMTS14","blue"
"YBX3","turquoise"
"ISOC2","turquoise"
"PTK2","blue"
"C19orf43","yellow"
"LAMA3","brown"
"ABCA8","magenta"
"RARRES3","turquoise"
"HM13","green"
"LTBP1","black"
"RND3","brown"
"PRKCE","blue"
"RP11-20I23.1","turquoise"
"KRT1","brown"
"TMED3","turquoise"
"NFIB","black"
"TNFRSF12A","green"
"ARF5","turquoise"
"YWHAB","yellow"
"AHNAK","brown"
"AC005943.2","turquoise"
"CCNI","brown"
"UBC","turquoise"
"OAF","turquoise"
"TPST1","red"
"DMKN","grey"
"ANXA1","turquoise"
"PMP22","turquoise"
"ARL6IP4","turquoise"
"ZCCHC7","blue"
"RBM6","blue"
"MYL12B","turquoise"
"EIF5A","turquoise"
"NDUFB10","turquoise"
"AHR","turquoise"
"SOCS3","brown"
"NGFRAP1","turquoise"
"CD151","turquoise"
"SGCD","blue"
"KAZN","brown"
"SPIDR","red"
"CCL2","turquoise"
"DUSP1","grey"
"SEC62","yellow"
"PLTP","turquoise"
"MINOS1","turquoise"
"MXRA8","turquoise"
"LMNA","grey"
"ZEB1","blue"
"ZNF652","blue"
"DST","blue"
"C4orf48","turquoise"
"WNT5A","brown"
"KHDRBS1","brown"
"MAP4","blue"
"PTRF","turquoise"
"TANC2","blue"
"ANK2","blue"
"MRPL41","turquoise"
"ADK","blue"
"GNAQ","red"
"SENP3-EIF4A1","turquoise"
"SH3D19","blue"
"C19orf70","turquoise"
"FXYD1","turquoise"
"STAT3","black"
"LINC00152","turquoise"
"OAZ1","turquoise"
"MIR4435-2HG","turquoise"
"VGLL4","red"
"CTSD","turquoise"
"REV3L","blue"
"PSMB3","turquoise"
"F10","black"
"EHD2","green"
"ARHGAP10","red"
"AP2M1","turquoise"
"RBM3","turquoise"
"KREMEN1","brown"
"YIF1A","turquoise"
"ATP5J","turquoise"
"GLUL","brown"
"ATP5O","turquoise"
"OSTC","turquoise"
"ANP32B","brown"
"PDZRN4","blue"
"PDGFRL","turquoise"
